name,accuracy,precision,f1,recall
MultiClassBiLSTM,0.7466467958271237,0.7466467958271237,0.7466467958271238,0.7466467958271237
MultiClassBertBiLSTM,0.7225037257824143,0.7225037257824143,0.7225037257824143,0.7225037257824143
MultiClassCNN,0.7262295081967213,0.7262295081967213,0.7262295081967213,0.7262295081967213
MultiClassGru,0.7479880774962743,0.7479880774962743,0.7479880774962743,0.7479880774962743
MultiClassRNN,0.4520119225037258,0.4520119225037258,0.4520119225037258,0.4520119225037258
MultiClassTransformer,0.7078986587183308,0.7078986587183308,0.7078986587183309,0.7078986587183308
MultiClassBiLSTMCNN,0.7283159463487332,0.7283159463487332,0.7283159463487333,0.7283159463487332
MultiClassBiLSTMBase,0.8273577552611068,0.8273577552611068,0.8273577552611068,0.8273577552611068
MultiClassBiLSTMBase,0.8272327964860908,0.8272327964860908,0.8272327964860908,0.8272327964860908
MultiClassBiLSTMBase,0.8268882955817759,0.8268882955817759,0.8268882955817758,0.8268882955817759
MultiClassBertBiLSTMBase,0.8025148566014986,0.8025148566014986,0.8025148566014986,0.8025148566014986
MultiClassCNNBase,0.8120747566962363,0.8120747566962363,0.8120747566962363,0.8120747566962363
MultiClassGruBase,0.8294720523641375,0.8294720523641375,0.8294720523641375,0.8294720523641375
MultiClassRNNBase,0.5682542416673844,0.5682542416673844,0.5682542416673844,0.5682542416673844
MultiClassTransformerBase,0.8035483593144432,0.8035483593144432,0.8035483593144432,0.8035483593144432
MultiClassBiLSTMBaseNLP,0.6199855002416627,0.6199855002416627,0.6199855002416627,0.6199855002416627
