0,1,2
100,0.003002166748046875,0.00015374422073364258
1000,0.04111981391906738,0.0005534052848815918
3000,0.15100643634796143,0.0009964418411254883
5000,0.26891064643859863,0.0019069242477416993
7000,0.41330931186676023,0.002433798313140869
9000,0.5782417058944702,0.0028776073455810546
11000,0.7442359924316406,0.003753204345703125
13000,0.8887013673782349,0.00403771162033081
15000,1.1206831693649293,0.004932050704956055
17000,1.295570158958435,0.007560615539550781
19000,1.6570986747741698,0.009774432182312012
20000,1.710800290107727,0.01105637836456299
